date;value
10/11/2007;4500
17/11/2007;8779
24/11/2007;10052
01/12/2007;9819
08/12/2007;10023
15/12/2007;11899
22/12/2007;13589
29/12/2007;14697
05/01/2008;15318
12/01/2008;10136
19/01/2008;8346
26/01/2008;7970
02/02/2008;7389
09/02/2008;7249
16/02/2008;7531
23/02/2008;9660
01/03/2008;6746
08/03/2008;7245
15/03/2008;6524
22/03/2008;7982
29/03/2008;6875
05/04/2008;8503
12/04/2008;9090
19/04/2008;6906
26/04/2008;6295
03/05/2008;7240
10/05/2008;6113
17/05/2008;5849
24/05/2008;6603
31/05/2008;10383
07/06/2008;7380
14/06/2008;8132
21/06/2008;9616
28/06/2008;10997
05/07/2008;10851
12/07/2008;11948
19/07/2008;12026
26/07/2008;11835
02/08/2008;9556
09/08/2008;9633
16/08/2008;10862
23/08/2008;9703
30/08/2008;8759
06/09/2008;8951
13/09/2008;8379
20/09/2008;6592
27/09/2008;8509
04/10/2008;7526
11/10/2008;6161
18/10/2008;7282
25/10/2008;7526
01/11/2008;6227
08/11/2008;7813
15/11/2008;10234
22/11/2008;9078
29/11/2008;9101
06/12/2008;9190
13/12/2008;9555
20/12/2008;11144
27/12/2008;14931
03/01/2009;22923
10/01/2009;14906
17/01/2009;8241
24/01/2009;7815
31/01/2009;7402
07/02/2009;5566
14/02/2009;6397
21/02/2009;8865
28/02/2009;7460
07/03/2009;7206
14/03/2009;6508
21/03/2009;6353
28/03/2009;6741
04/04/2009;7104
11/04/2009;9156
18/04/2009;6976
25/04/2009;7959
02/05/2009;7388
09/05/2009;8122
16/05/2009;6708
23/05/2009;7622
30/05/2009;9038
06/06/2009;7308
13/06/2009;8251
20/06/2009;10656
27/06/2009;11626
04/07/2009;13336
11/07/2009;13882
18/07/2009;13715
25/07/2009;11474
01/08/2009;10570
08/08/2009;8671
15/08/2009;8301
22/08/2009;6710
29/08/2009;6686
05/09/2009;6434
12/09/2009;8144
19/09/2009;6906
26/09/2009;7861
03/10/2009;7740
10/10/2009;8200
17/10/2009;7555
24/10/2009;7766
31/10/2009;9442
07/11/2009;8872
14/11/2009;9370
21/11/2009;8695
28/11/2009;10965
05/12/2009;8734
12/12/2009;10670
19/12/2009;10397
26/12/2009;12836
02/01/2010;19425
09/01/2010;12617
16/01/2010;9407
23/01/2010;7538
30/01/2010;7912
06/02/2010;8280
13/02/2010;6288
20/02/2010;7615
27/02/2010;4874
06/03/2010;7606
13/03/2010;6513
20/03/2010;6358
27/03/2010;6136
03/04/2010;7071
10/04/2010;6406
17/04/2010;8617
24/04/2010;5369
01/05/2010;6183
08/05/2010;6013
15/05/2010;6478
22/05/2010;6336
29/05/2010;8806
05/06/2010;7479
12/06/2010;7369
19/06/2010;10746
26/06/2010;10833
03/07/2010;11874
10/07/2010;13654
17/07/2010;13871
24/07/2010;10502
31/07/2010;9279
07/08/2010;8040
14/08/2010;6997
21/08/2010;6801
28/08/2010;6608
04/09/2010;9417
11/09/2010;8304
18/09/2010;7122
25/09/2010;7575
02/10/2010;7952
09/10/2010;7840
16/10/2010;7524
23/10/2010;8344
30/10/2010;9332
06/11/2010;11983
13/11/2010;11590
20/11/2010;11340
27/11/2010;11657
04/12/2010;10683
11/12/2010;13463
18/12/2010;11877
25/12/2010;12802
01/01/2011;19695
08/01/2011;15232
15/01/2011;10743
22/01/2011;9036
29/01/2011;7507
05/02/2011;7368
12/02/2011;6439
19/02/2011;7702
26/02/2011;7565
05/03/2011;6649
12/03/2011;7997
19/03/2011;7594
26/03/2011;9035
02/04/2011;6540
09/04/2011;6297
16/04/2011;6824
23/04/2011;7812
30/04/2011;6118
07/05/2011;6404
14/05/2011;6996
21/05/2011;7713
28/05/2011;8545
04/06/2011;8830
11/06/2011;10553
18/06/2011;10475
25/06/2011;12365
02/07/2011;12127
09/07/2011;14335
16/07/2011;14375
23/07/2011;10218
30/07/2011;9632
06/08/2011;8244
13/08/2011;7602
20/08/2011;7701
27/08/2011;5458
03/09/2011;5821
10/09/2011;6402
17/09/2011;6911
24/09/2011;8075
01/10/2011;6480
08/10/2011;7690
15/10/2011;5898
22/10/2011;7651
29/10/2011;7955
05/11/2011;7520
12/11/2011;7712
19/11/2011;10572
26/11/2011;9899
03/12/2011;9766
10/12/2011;11469
17/12/2011;8419
24/12/2011;7931
31/12/2011;16890
07/01/2012;10646
14/01/2012;5190
21/01/2012;8576
28/01/2012;9137
04/02/2012;5998
11/02/2012;6129
18/02/2012;6604
25/02/2012;3104
03/03/2012;4076
10/03/2012;6863
17/03/2012;6200
24/03/2012;5051
31/03/2012;7097
07/04/2012;7202
14/04/2012;6857
21/04/2012;5005
28/04/2012;6701
05/05/2012;4927
12/05/2012;5885
19/05/2012;6537
26/05/2012;6532
02/06/2012;5438
09/06/2012;6300
16/06/2012;7010
23/06/2012;9884
30/06/2012;9655
07/07/2012;10735
14/07/2012;9431
21/07/2012;7747
28/07/2012;6653
04/08/2012;6865
11/08/2012;7139
18/08/2012;5372
